stid,station_name,lat,lon,elev,begints,iem_network
BIAR,Akureyri,65.68558,-18.10023,27,1931-01-03 00:00,IS__ASOS
BIBD,Bildudalur,65.6413,-23.5462,-62.470646,2013-02-20 00:00,IS__ASOS
BIEG,Egilsstadir,65.283,-14.4025,38,1949-01-01 00:00,IS__ASOS
BIGJ,Gjogur,65.9833,-21.35,-34.25293,2021-03-23 00:00,IS__ASOS
BIGR,Grimsey,66.5458,-18.0173,15,2021-03-04 00:00,IS__ASOS
BIHN,Hofn,64.29556,-15.22722,7,1972-12-31 00:00,IS__ASOS
BIHU,Husavik,65.9523,-17.426,14,2021-03-04 00:00,IS__ASOS
BIIS,Isafjordur,66.05806,-23.13528,3,2009-04-03 00:00,IS__ASOS
BIKF,Keflavik,63.97468,-22.58758,54,1942-09-30 00:00,IS__ASOS
BIRK,Reykjavik,64.12845,-21.9407,61,1931-01-01 00:00,IS__ASOS
BIVO,Skjaldthingsstadir,65.7027,-14.8211,48,2021-03-04 00:00,IS__ASOS
BITN,Thorshofn,66.2185,-15.3356,10,2017-06-16 00:00,IS__ASOS
BIVM,Vestmannaeyjar,63.39975,-20.28832,124,1931-01-03 00:00,IS__ASOS


