station,valid,tmpf,tmpc,relh,drct,mslp,p01i
LNK,2023-10-04 00:54,79.00,26.11,48.59,170.00,1005.50,0.00
LNK,2023-10-04 01:10,68.00,20.00,75.57,290.00,M,T
LNK,2023-10-04 01:29,65.00,18.33,86.88,280.00,M,0.06
LNK,2023-10-04 01:36,64.00,17.78,89.97,260.00,M,0.27
LNK,2023-10-04 01:39,64.00,17.78,93.21,240.00,M,0.35
LNK,2023-10-04 01:46,64.00,17.78,93.21,210.00,M,0.52
LNK,2023-10-04 01:54,64.00,17.78,93.21,180.00,1010.10,0.61
LNK,2023-10-04 02:05,64.00,17.78,93.21,150.00,M,0.04
LNK,2023-10-04 02:21,64.00,17.78,93.21,160.00,M,0.08
LNK,2023-10-04 02:43,63.00,17.22,93.18,140.00,M,0.10
LNK,2023-10-04 02:54,63.00,17.22,93.18,180.00,1008.90,0.10
LNK,2023-10-04 03:54,62.00,16.67,89.89,230.00,1009.50,0.00
LNK,2023-10-04 04:44,61.00,16.11,93.12,200.00,M,0.00
LNK,2023-10-04 04:54,61.00,16.11,93.12,200.00,1010.30,0.00
LNK,2023-10-04 05:26,62.00,16.67,93.15,220.00,M,0.00
LNK,2023-10-04 05:54,62.00,16.67,93.15,220.00,1010.20,0.00
LNK,2023-10-04 06:54,61.00,16.11,93.12,180.00,1011.10,0.00
LNK,2023-10-04 07:54,59.00,15.00,96.48,170.00,1012.20,0.00
LNK,2023-10-04 08:15,61.00,16.11,89.84,230.00,M,0.00
LNK,2023-10-04 08:54,60.00,15.56,89.80,240.00,1011.60,0.00
LNK,2023-10-04 09:54,59.00,15.00,89.76,270.00,1012.20,0.00
LNK,2023-10-04 10:54,59.00,15.00,83.46,270.00,1012.90,0.00
LNK,2023-10-04 11:54,58.00,14.44,77.47,310.00,1013.80,0.00
LNK,2023-10-04 12:54,57.00,13.89,77.38,300.00,1014.70,0.00
LNK,2023-10-04 13:54,59.00,15.00,69.38,310.00,1015.50,0.00
LNK,2023-10-04 14:54,62.00,16.67,64.73,320.00,1015.70,0.00
LNK,2023-10-04 15:54,65.00,18.33,60.47,320.00,1016.40,0.00
LNK,2023-10-04 16:54,67.00,19.44,58.53,320.00,1016.30,0.00
LNK,2023-10-04 17:54,69.00,20.56,54.64,340.00,1015.90,0.00
LNK,2023-10-04 18:54,72.00,22.22,45.81,340.00,1015.10,0.00
LNK,2023-10-04 19:54,74.00,23.33,42.82,310.00,1014.90,0.00
LNK,2023-10-04 20:54,74.00,23.33,42.82,330.00,1014.70,0.00
LNK,2023-10-04 21:54,75.00,23.89,39.90,350.00,1014.50,0.00
LNK,2023-10-04 22:54,73.00,22.78,42.67,360.00,1014.30,0.00
LNK,2023-10-04 23:54,70.00,21.11,47.24,310.00,1014.60,0.00
